#gene	KO-hom	KO-het	DMG-hom	DMG-het	BEN-hom	BEN-het
DNAH17-AS1	0	0	0	0	91	1756
DNAH2	0	2	69	1124	44	915
DNAH3	0	4	77	1469	80	1370
DNAH5	0	5	26	867	34	804
DNAH6	0	3	21	688	77	1241
DNAH7	0	11	79	1520	32	622
DNAH8	0	0	40	734	84	834
DNAH9	0	3	81	1336	54	1380
DNAI1	0	0	8	330	8	366
DNAI2	0	1	1	275	23	401
DNAJA1	0	0	0	0	6	193
DNAJA1P5	0	0	0	0	18	305
DNAJA2	0	0	0	1	1	100
DNAJA3	0	0	0	18	3	141
DNAJA4	2	59	3	78	47	792
DNAJB1	0	0	0	6	29	515
DNAJB11	0	1	0	3	6	110
DNAJB12	0	0	1	36	60	972
DNAJB13	0	0	0	21	8	273
DNAJB14	0	0	2	67	23	599
DNAJB2	0	0	0	49	33	548
DNAJB3	0	29	2	69	14	270
DNAJB4	0	0	0	4	3	114
DNAJB5	0	0	0	39	6	285
DNAJB6	0	0	0	9	183	2719
DNAJB7	46	146	2	76	35	369
DNAJB8	0	0	1	87	6	228
DNAJB8-AS1	0	0	0	0	84	1943
DNAJB9	0	0	3	61	11	362
DNAJC1	0	2	0	13	6	270
DNAJC10	0	0	4	135	22	411
DNAJC11	0	0	5	99	1	36
DNAJC12	0	0	0	87	11	239
DNAJC13	0	0	1	314	31	794
DNAJC14	0	0	0	22	32	531
DNAJC15	0	0	0	14	26	617
DNAJC16	0	0	0	20	16	539
DNAJC17	0	0	12	127	1	93
DNAJC18	0	0	0	18	19	379
DNAJC19	0	0	0	2	0	150
DNAJC2	0	0	1	43	9	594
DNAJC21	0	0	0	61	58	1335
DNAJC22	0	0	0	31	68	527
DNAJC24	0	0	0	11	57	823
DNAJC25	0	0	0	0	53	428
DNAJC25-GNG10	0	0	0	0	21	194
DNAJC27	0	0	0	11	12	421
DNAJC27-AS1	3	51	0	3	40	929
DNAJC28	0	1	1	46	4	98
DNAJC3	0	0	1	30	29	1067
DNAJC30	0	0	13	265	11	503
DNAJC4	0	0	0	19	1	91
DNAJC5	0	0	0	0	106	2369
DNAJC5B	0	3	0	22	61	882
DNAJC5G	0	0	5	132	22	226
DNAJC6	0	0	0	43	24	505
DNAJC7	0	0	0	8	0	23
DNAJC8	0	0	0	7	0	72
DNAJC9	0	0	0	10	1	118
DNAJC9-AS1	0	0	0	12	10	287
DNAL1	0	0	0	10	80	1767
DNAL4	0	0	0	4	0	116
DNALI1	0	0	0	31	10	621
DNAPTP1	0	0	0	0	14	446
DNASE1	0	0	4	172	17	1123
DNASE1L1	0	0	1	27	12	282
DNASE1L2	0	0	0	19	0	80
DNASE1L3	0	0	6	107	0	106
DNASE2	0	0	0	18	10	223
DNASE2B	0	1	7	84	1	31
DND1	0	0	0	12	0	76
DNER	0	0	2	64	2	195
DNHD1	0	11	25	809	58	1112
DNLZ	0	0	26	464	18	414
DNM1	0	0	3	93	26	428
DNM1L	0	0	2	89	12	548
DNM1P35	0	0	0	0	80	4213
DNM1P41	2	89	0	4	0	0
DNM1P46	0	40	6	283	193	3244
DNM2	0	4	0	60	27	982
DNM3	0	0	0	13	32	1216
DNM3OS	0	0	0	0	35	1223
DNMBP	0	0	9	370	34	864
DNMBP-AS1	0	0	0	0	9	312
DNMT1	0	0	14	177	12	513
DNMT3A	0	2	0	16	11	360
DNMT3B	0	0	0	73	35	795
DNMT3L	0	1	0	26	29	469
DNPEP	0	0	1	118	11	317
DNPH1	0	0	0	9	5	115
DNTT	0	0	0	50	12	214
DNTTIP1	0	0	5	83	4	94
DNTTIP2	0	0	5	156	6	205
DOC2A	0	0	0	30	9	176
DOC2B	0	0	3	46	2	84
DOC2GP	0	0	0	1	10	231
DOCK1	0	7	0	71	33	1131
DOCK10	0	0	10	333	73	1221
DOCK11	0	0	2	99	16	252
DOCK2	0	0	0	125	37	639
DOCK3	0	0	0	31	15	244
DOCK4	0	0	8	317	30	868
DOCK5	0	0	10	219	68	1566
DOCK6	0	1	25	557	22	607
DOCK7	0	0	8	225	11	406
DOCK8	0	0	51	985	103	1859
DOCK9	0	69	11	266	195	2716
DOHH	0	0	0	13	110	901
DOK1	0	0	0	22	59	480
DOK2	0	1	2	128	0	57
DOK3	0	0	2	178	6	404
DOK4	0	0	0	31	37	630
DOK5	0	0	0	9	22	329
DOK6	0	0	0	21	77	1647
DOK7	0	0	13	442	15	736
DOLK	0	0	0	24	1	53
DOLPP1	0	0	0	184	43	474
DOM3Z	0	0	1	15	9	238
DONSON	0	0	0	54	3	129
DOPEY1	0	0	7	260	8	227
DOPEY2	0	1	4	281	52	869
DOT1L	0	0	1	134	28	1411
DPAGT1	0	1	0	12	0	91
DPCD	0	0	1	51	0	15
DPCR1	0	0	18	645	10	498
DPEP1	0	1	2	42	17	279
DPEP2	0	2	16	185	22	302
DPEP3	0	0	7	126	13	104
DPF1	0	0	0	9	13	271
DPF2	0	0	0	1	4	167
DPF3	0	0	1	30	64	840
DPH1	12	146	6	148	43	1004
DPH2	0	0	0	25	10	96
DPH3	0	0	0	1	45	1184
DPH3P1	0	0	0	18	18	289
DPH5	0	0	1	18	6	304
DPH6	0	0	4	143	15	509
DPH6-AS1	0	0	0	0	2469	58030
DPM1	0	0	0	9	0	14
DPM2	0	0	0	4	12	259
DPM3	0	0	1	1	4	73
DPP10	0	0	7	226	75	1160
DPP3	0	0	12	195	11	260
DPP4	0	0	0	136	5	423
DPP6	0	0	21	425	80	1557
DPP7	3	53	2	103	3	262
DPP8	0	1	1	22	29	754
DPP9	0	0	2	69	42	592
DPPA2	0	1	3	49	9	225
DPPA2P3	0	0	0	0	48	443
DPPA3	0	0	0	10	0	46
DPPA4	0	17	5	102	284	1851
DPPA5	0	0	0	2	20	450
DPRX	0	22	0	4	0	42
DPRXP4	0	0	0	0	2	111
DPT	0	0	3	68	14	352
DPY19L1	0	20	0	10	5	287
DPY19L1P1	0	0	0	5	5	293
DPY19L2	0	9	1	200	7	338
DPY19L2P1	0	0	6	160	0	3
DPY19L2P2	0	59	51	528	92	1502
DPY19L2P3	0	0	0	68	472	11019
DPY19L2P4	0	0	0	0	19	1163
DPY19L3	0	0	2	61	39	1047
DPY19L4	0	8	0	94	104	1383
DPY30	0	0	0	1	0	14
DPYD	0	1	15	371	35	642
DPYD-AS1	0	0	0	1	4	63
DPYS	0	0	0	92	4	326
DPYSL2	0	0	1	67	77	1239
DPYSL3	0	0	3	68	92	1196
DPYSL4	0	0	1	98	20	659
DPYSL5	0	0	0	58	10	426
DQ266889	0	0	0	0	1	65
DQ515899	0	0	0	0	1	63
DQ570035	0	0	0	0	9	94
DQ570096	0	0	0	0	2	39
DQ570150	0	0	0	0	0	19
DQ570895	0	0	0	0	0	1
DQ571055	0	0	0	0	1	45
DQ571121	0	0	0	0	92	1118
DQ571187	0	0	0	0	0	1
DQ571461	0	0	0	0	0	18
DQ571479	0	0	0	0	0	1
DQ571494	0	0	0	0	0	2
DQ571524	0	0	0	0	0	12
DQ571907	0	0	0	0	0	19
DQ571988	0	0	0	0	0	14
DQ572409	0	0	0	0	0	3
DQ572519	0	0	0	0	0	1
DQ572923	0	0	0	0	14	310
DQ573101	0	0	0	0	0	35
DQ573486	0	0	0	0	4	71
DQ573668	0	0	0	0	5	167
DQ574368	0	0	0	0	50	1104
DQ574806	0	0	0	0	38	552
DQ574855	0	0	0	0	0	1
DQ575049	0	0	0	0	4	269
DQ575315	0	0	0	0	0	6
DQ575742	0	0	0	0	0	80
DQ575848	0	0	0	0	0	3
DQ576221	0	0	0	0	0	6
DQ576445	0	0	0	0	6	59
DQ576627	0	0	0	0	0	1
DQ577234	0	0	0	0	0	6
DQ577380	0	0	0	0	0	15
DQ577411	0	0	0	0	1	22
DQ577420	0	0	0	0	11	229
DQ577440	0	0	0	0	27	834
DQ577476	0	0	0	0	0	5
DQ577530	0	0	0	0	130	1696
DQ577714	0	0	0	0	0	29
DQ577731	0	0	0	0	6	374
DQ577752	0	0	0	0	0	3
DQ577875	0	0	0	0	11	170
DQ578013	0	0	0	0	0	13
DQ578051	0	0	0	0	0	2
DQ578199	0	0	0	0	10	589
DQ578341	0	0	0	0	0	1
DQ578873	0	0	0	0	0	15
DQ579335	0	0	0	0	0	8
DQ579704	0	0	0	0	0	1
DQ580114	0	0	0	0	0	1
DQ580140	0	0	0	0	1	28
DQ580250	0	0	0	0	0	4
DQ580366	0	0	0	0	0	13
DQ580846	0	0	0	0	0	5
DQ580910	0	0	0	0	0	2
DQ581019	0	0	0	0	0	3
DQ581677	0	0	0	0	0	3
DQ581862	0	0	0	0	4	39
DQ582071	0	0	0	0	2	249
DQ582073	0	0	0	0	0	1
DQ582228	0	0	0	0	0	10
DQ582266	0	0	0	0	11	167
DQ583756	0	0	0	0	101	1426
DQ583809	0	0	0	0	0	3
DQ584012	0	0	0	0	0	4
DQ585264	0	0	0	0	0	21
DQ585302	0	0	0	0	3	137
DQ585389	0	0	0	0	0	25
DQ585809	0	0	0	0	0	5
DQ586227	0	0	0	0	11	161
DQ586374	0	0	0	0	3	39
DQ586425	0	0	0	0	0	2
DQ586576	0	0	0	0	0	1
DQ586768	0	0	0	0	0	5
DQ586951	0	0	0	0	1	12
DQ587119	0	0	0	0	0	9
DQ587284	0	0	0	0	0	5
DQ587539	0	0	0	0	0	3
DQ587763	0	0	0	0	0	13
DQ587887	0	0	0	0	0	4
DQ588114	0	0	0	0	8	161
DQ588149	0	0	0	0	1	24
DQ588163	0	0	0	0	0	43
DQ588253	0	0	0	0	0	8
DQ588762	0	0	0	0	0	2
DQ588796	0	0	0	0	0	2
DQ589081	0	0	0	0	2	60
DQ589180	0	0	0	0	0	52
DQ589218	0	0	0	0	0	15
DQ589533	0	0	0	0	0	5
DQ589586	0	0	0	0	1	19
DQ589635	0	0	0	0	6	313
DQ590166	0	0	0	0	0	2
DQ590189	0	0	0	0	2	29
DQ590616	0	0	0	0	53	1181
DQ590886	0	0	0	0	0	7
DQ591334	0	0	0	0	1	40
DQ591628	0	0	0	0	0	14
DQ591726	0	0	0	0	0	2
DQ591848	0	2	0	19	3	210
DQ591901	0	0	0	0	11	161
DQ592376	0	0	0	0	0	13
DQ592688	0	0	0	0	7	99
DQ592694	0	0	0	0	0	1
DQ592954	0	0	0	0	1	14
DQ593878	0	0	0	0	0	1
DQ593994	0	0	0	0	0	13
DQ594309	0	0	0	0	0	2
DQ594337	0	0	0	0	0	6
DQ594762	0	0	0	0	0	6
DQ594922	0	0	0	0	11	129
DQ594967	0	0	0	0	6	63
DQ595173	0	0	0	0	9	94
DQ595346	0	0	0	0	0	3
DQ595419	0	0	0	0	0	15
DQ595618	0	0	0	0	0	15
DQ595884	0	0	0	0	0	4
DQ596041	0	0	0	0	0	2
DQ596042	0	0	0	0	0	2
DQ596480	0	0	0	0	0	1
DQ596502	0	0	0	0	0	15
DQ596584	0	0	0	0	1	22
DQ596932	0	0	0	0	0	3
DQ597072	0	0	0	0	0	23
DQ597104	0	0	0	0	0	4
DQ597441	0	0	0	0	0	1
DQ597610	0	0	0	0	0	7
DQ599242	0	0	0	0	2	40
DQ599297	0	0	0	0	0	8
DQ599989	0	0	0	0	0	2
DQ600374	0	0	0	0	0	29
DQ601415	0	0	0	0	0	31
DQ601582	0	0	0	0	6	461
DQ601612	0	0	0	0	0	12
DQ601639	0	0	0	0	0	3
DQ601847	0	0	0	0	0	1
DQ601926	0	0	0	0	5	39
DQ655986	0	0	0	0	2	29
DQ658414	0	0	0	0	0	22
DQ786262	0	0	0	0	0	46
DQX1	0	2	2	88	6	137
DR1	0	0	10	142	98	884
DRAM1	0	0	0	3	182	2474
DRAM2	0	0	0	13	4	246
DRAP1	0	0	0	3	1	79
DRAXIN	0	0	2	109	6	166
DRC1	0	0	9	265	16	479
DRD1	0	0	0	9	4	225
DRD2	0	0	2	61	12	363
DRD3	0	0	0	28	15	556
DRD4	0	0	3	133	5	145
DRD5	0	3	3	78	1	126
DRG1	0	0	0	2	0	47
DRG2	0	0	1	48	22	467
DRGX	0	0	0	11	0	45
DROSHA	0	0	2	86	17	507
DRP2	0	0	0	18	7	207
DSC1	0	0	23	314	93	910
DSC2	0	13	28	219	5	290
DSC3	0	0	5	235	21	574
DSCAM	0	0	1	79	53	1074
DSCAM-AS1	0	0	0	0	3	190
DSCAM-IT1	0	0	0	0	0	24
DSCAML1	0	0	0	106	31	574
DSCC1	0	0	0	11	0	64
DSCR10	0	0	0	0	14	413
DSCR3	0	0	1	28	30	755
DSCR4	0	0	0	50	3	102
DSCR8	13	168	2	94	14	236
DSCR9	0	0	0	79	5	114
DSE	0	0	9	307	30	708
DSEL	0	2	2	99	49	1115
DSG1	0	0	10	328	40	1064
DSG2	0	0	9	284	4	339
DSG3	0	0	1	193	22	932
DSG4	0	4	2	267	5	274
DSN1	0	0	0	18	31	445
DSP	0	2	8	377	9	462
DSPP	0	0	7	324	30	438
DST	0	1	49	1591	57	1916
DSTN	0	0	0	1	14	397
DSTNP2	5	55	13	89	7	161
DSTYK	0	0	3	168	4	429
DTD1	0	0	6	68	32	450
DTD2	0	0	0	3	28	582
DTHD1	0	2	11	327	65	823
DTL	0	0	0	48	29	723
DTNA	0	3	0	33	41	850
DTNB	0	0	0	26	6	186
DTNBP1	0	0	3	210	29	460
DTWD1	0	0	1	52	69	691
DTWD2	0	0	0	50	15	612
DTX1	0	0	0	27	80	815
DTX2	0	3	19	190	13	304
DTX2P1-UPK3BP1-PMS2P11	0	0	0	0	328	4603
DTX3	0	0	0	5	13	475
DTX3L	0	1	7	118	73	1120
DTX4	0	0	0	10	22	612
DTYMK	0	0	0	18	14	307
DUOX1	0	5	13	249	16	466
DUOX2	0	5	5	378	94	1345
DUOXA1	0	0	0	109	14	277
DUOXA2	0	12	0	8	23	348
DUPD1	0	0	4	156	0	146
DUS1L	0	0	3	124	24	566
DUS2L	0	0	0	75	11	202
DUS3L	0	1	0	92	5	227
DUS4L	0	0	1	94	29	541
DUSP1	1	48	6	88	11	310
DUSP10	0	0	0	19	11	434
DUSP11	0	1	1	67	4	171
DUSP12	0	0	0	27	25	204
DUSP13	0	1	4	130	2	127
DUSP14	0	0	0	18	8	286
DUSP15	0	0	0	15	19	323
DUSP16	1	320	0	74	96	1417
DUSP18	0	0	0	6	17	301
DUSP19	0	1	0	23	16	578
DUSP2	0	0	0	12	1	102
DUSP21	0	2	0	1	0	87
DUSP22	0	1	0	129	6	579
DUSP23	0	0	8	141	0	15
DUSP26	0	0	0	14	17	356
DUSP27	0	3	5	267	18	369
DUSP28	0	0	4	59	31	1009
DUSP3	0	0	0	7	11	387
DUSP4	0	1	0	8	137	1790
DUSP5	0	0	1	122	19	565
DUSP5P1	0	0	1	36	1	170
DUSP6	0	0	1	52	9	405
DUSP7	0	0	0	2	15	457
DUSP8	0	0	0	12	14	343
DUSP9	0	0	0	21	4	146
DUT	0	0	0	20	36	623
DUXA	0	0	0	11	31	556
DVL1	0	0	13	166	14	292
DVL2	0	0	0	83	36	334
DVL3	0	0	0	10	43	648
DYDC1	0	0	0	18	30	511
DYDC2	0	0	0	101	17	357
DYM	0	0	0	52	8	178
DYNAP	0	0	1	22	3	140
DYNC1H1	0	0	23	218	31	1119
DYNC1I1	0	0	0	54	8	260
DYNC1I2	0	0	0	9	4	149
DYNC1LI1	0	0	6	199	6	247
DYNC1LI2	0	0	0	6	8	252
DYNC2H1	0	3	22	791	12	760
DYNC2LI1	0	0	2	112	45	1001
DYNLL1	0	0	0	0	3	132
DYNLL1-AS1	0	0	0	0	2	194
DYNLL2	0	0	0	0	2	99
DYNLRB1	0	0	0	3	16	345
DYNLRB2	0	0	0	6	43	502
DYNLT1	0	0	0	2	1	276
DYNLT3	0	0	0	1	21	155
DYRK1A	0	0	0	41	58	933
DYRK1B	0	0	0	14	9	208
DYRK2	0	0	0	22	46	699
DYRK3	0	0	0	47	1	78
DYRK4	0	0	5	205	7	123
DYSF	0	1	6	494	17	680
DYTN	0	5	32	320	2	150
DYX1C1	0	0	12	147	71	780
DYX1C1-CCPG1	0	0	0	5	0	16
DZANK1	0	2	6	413	16	1049
DZIP1	0	0	2	71	37	886
DZIP1L	0	2	5	146	97	717
DZIP3	0	1	0	98	49	778
E02193	0	0	0	0	29	198
E10222	0	0	0	0	13	127
E2F1	0	0	4	94	5	185
E2F2	0	0	0	29	14	587
E2F3	0	0	1	34	25	575
E2F4	0	0	0	13	68	548
E2F5	0	0	0	6	7	177
E2F6	0	0	1	9	23	332
E2F7	0	1	11	226	34	760
E2F8	0	0	2	88	20	384
E4F1	0	0	0	64	3	185
EAF1	0	0	0	22	40	940
EAF2	0	0	1	38	0	83
EAPP	0	0	30	216	7	114
EARS2	0	0	3	149	19	435
EBAG9	0	0	0	15	14	322
EBF1	0	0	0	11	21	456
EBF2	0	0	6	81	61	1267
EBF3	0	0	0	9	49	1010
EBF4	8	166	0	8	1	114
EBI3	0	0	0	11	0	103
EBLN1	1	18	31	141	18	208
EBLN2	0	18	1	70	13	209
EBNA1BP2	0	0	1	31	62	655
EBP	0	0	0	7	1	21
EBPL	0	0	0	14	0	34
ECD	0	0	16	172	26	180
ECE1	0	0	4	99	64	1014
ECE2	0	1	8	238	13	291
ECEL1	0	0	0	95	3	91
ECEL1P2	0	3	0	0	23	388
ECH1	0	2	12	278	6	204
ECHDC1	0	1	0	9	3	122
ECHDC2	0	0	0	32	70	846
ECHDC3	0	0	2	151	14	172
ECHS1	0	0	0	3	13	207
ECI1	0	0	1	30	14	199
ECI2	0	0	1	33	9	214
ECM1	0	0	0	33	36	742
ECM2	0	0	0	86	5	331
ECRP	0	0	0	4	0	15
ECSCR	0	0	0	0	0	6
ECSIT	0	0	7	169	0	23
ECT2	0	0	9	153	22	425
ECT2L	0	4	10	356	9	255
EDA	0	0	0	11	5	210
EDA2R	0	0	0	15	7	138
EDAR	0	0	4	124	41	972
EDARADD	0	1	1	45	38	648
EDC3	0	0	0	28	5	135
EDC4	0	0	7	108	50	616
EDDM3A	0	4	0	13	11	263
EDDM3B	0	0	0	11	6	353
EDEM1	0	2	1	78	94	1852
EDEM2	0	0	0	67	44	275
EDEM3	0	0	1	81	27	959
EDF1	0	0	0	9	3	91
EDIL3	0	0	0	25	10	261
EDN1	0	0	0	14	47	516
EDN2	0	2	0	32	34	266
EDN3	0	9	1	21	8	419
EDNRA	0	0	0	5	22	487
EDNRB	0	0	0	64	9	415
EEA1	0	0	4	202	16	456
EED	0	0	0	5	1	90
EEF1A1	0	0	0	3	45	1252
EEF1A2	0	0	0	0	14	403
EEF1B2	0	0	0	26	0	27
EEF1D	0	0	15	381	24	807
EEF1DP3	0	0	0	41	63	1222
EEF1E1	0	0	0	7	5	86
EEF1E1-MUTED	0	0	0	0	112	2386
EEF1G	0	0	0	7	0	8
EEF2	0	0	0	8	90	779
EEF2K	0	0	2	48	77	1165
EEFSEC	0	0	0	72	13	225
EEPD1	0	0	6	143	32	893
EFCAB1	0	0	1	15	13	696
EFCAB10	0	0	0	13	3	174
EFCAB11	0	0	7	113	24	505
EFCAB12	0	0	19	521	19	330
EFCAB13	17	248	27	565	31	438
EFCAB14	0	0	0	58	6	308
EFCAB14-AS1	0	0	0	0	0	19
EFCAB2	0	0	0	78	23	809
EFCAB3	0	17	15	218	16	137
EFCAB4A	18	138	20	286	26	356
EFCAB4B	0	0	15	316	24	355
EFCAB5	1	26	37	464	5	171
EFCAB6	0	15	45	945	43	783
EFCAB6-AS1	0	0	0	0	12	395
EFCAB7	0	0	4	150	1	42
EFCAB9	0	0	3	68	3	84
EFCC1	0	0	12	250	12	309
EFEMP1	0	0	0	12	46	1113
EFEMP2	0	0	0	21	3	216
EFHB	0	3	31	523	0	42
EFHC1	0	0	24	532	64	1494
EFHC2	0	7	11	185	3	94
EFHD1	0	0	7	129	39	524
EFHD2	0	0	2	35	12	368
EFNA1	0	0	0	18	0	116
EFNA2	0	0	0	0	17	494
EFNA3	0	0	6	193	4	141
EFNA4	0	0	0	7	0	11
EFNA5	0	0	0	8	49	875
EFNB1	0	0	1	20	8	196
EFNB2	0	0	0	7	14	519
EFNB3	0	0	0	26	2	110
EFR3A	0	0	1	238	1	266
EFR3B	0	0	0	6	16	696
EFS	0	0	12	274	6	252
EFTUD1	0	1	9	261	12	229
EFTUD1P1	2	82	0	30	11	203
EFTUD2	0	0	0	7	27	456
EGF	17	103	25	426	55	956
EGFEM1P	0	0	0	19	5750	100230
EGFL6	0	0	13	138	13	201
EGFL7	0	0	0	31	24	738
EGFL8	0	7	2	21	0	0
EGFLAM	0	0	14	381	111	918
EGFLAM-AS2	0	0	0	0	44	693
EGFLAM-AS4	0	0	0	0	4	155
EGFR	0	0	6	96	32	948
EGFR-AS1	0	0	0	0	9	323
EGLN1	0	0	3	63	62	1211
EGLN2	0	0	0	0	10	491
EGLN3	0	0	1	14	4	268
EGOT	0	0	0	0	15	426
EGR1	0	0	0	15	5	213
EGR2	0	0	0	11	28	496
EGR3	0	0	0	5	2	243
EGR4	0	0	0	0	2	101
EHBP1	0	0	8	194	11	295
EHBP1L1	0	1	12	193	5	264
EHD1	0	0	0	10	8	368
EHD2	0	0	0	67	28	649
EHD3	0	0	0	36	19	655
EHD4	0	0	20	170	29	601
EHF	0	19	0	53	29	656
EHHADH	0	1	14	347	26	587
EHHADH-AS1	0	0	0	0	503	9221
EHMT1	0	0	5	138	117	818
EHMT2	0	1	0	26	12	366
EI24	0	0	0	8	10	296
EID1	0	0	0	0	1	85
EID2	0	0	6	87	2	117
EID2B	0	0	0	9	29	368
EID3	0	0	1	20	4	153
EIF1	0	0	0	0	4	140
EIF1AD	0	0	9	162	28	624
EIF1AX	0	0	0	0	6	168
EIF1B	0	0	0	0	5	163
EIF1B-AS1	0	0	0	0	173	6997
EIF2A	0	0	0	25	2	201
EIF2AK1	0	0	0	99	12	319
EIF2AK2	0	1	0	7	17	587
EIF2AK3	0	0	0	59	3	109
EIF2AK4	0	0	12	260	21	536
EIF2B1	0	0	0	10	34	601
EIF2B2	0	0	0	13	3	75
EIF2B3	0	0	0	49	0	39
EIF2B4	0	0	1	45	8	304
EIF2B5	0	0	0	30	8	306
EIF2D	0	0	23	110	21	535
EIF2S1	0	0	0	4	39	810
EIF2S2	0	0	0	22	48	350
EIF2S3	0	0	6	85	19	258
EIF3A	0	0	2	112	6	237
EIF3B	0	0	0	96	12	482
EIF3C	0	0	0	125	0	0
EIF3CL	4	162	2	102	3	340
EIF3D	0	0	0	5	21	449
EIF3E	0	1	0	6	14	366
EIF3F	0	0	5	184	22	377
EIF3G	0	0	3	82	2	147
EIF3H	0	0	0	2	10	260
EIF3I	0	0	0	5	2	102
EIF3IP1	0	0	0	12	37	449
EIF3J	0	0	24	179	1	97
EIF3J-AS1	0	0	0	0	21	531
EIF3K	0	0	0	23	3	155
EIF3L	0	0	0	0	7	203
EIF3M	0	0	0	10	0	53
EIF4A2	0	0	0	7	2	213
EIF4A3	0	0	0	2	53	564
EIF4B	0	0	4	61	15	664
EIF4E	0	0	0	0	24	504
EIF4E1B	0	0	3	72	3	134
EIF4E2	0	0	0	3	0	38
EIF4E3	0	0	0	0	4	387
EIF4EBP1	0	0	0	2	25	218
EIF4EBP2	0	0	0	3	14	383
EIF4EBP3	0	0	0	6	0	44
EIF4ENIF1	0	0	1	31	6	268
EIF4G1	0	0	6	191	12	410
EIF4G2	0	0	0	12	30	331
EIF4G3	0	0	2	125	12	201
EIF4H	0	0	0	5	0	68
EIF5	0	0	0	4	54	1319
EIF5A	0	0	5	84	28	456
EIF5A2	0	0	0	1	30	848
EIF5AL1	0	0	0	0	18	1548
EIF5B	0	0	0	50	2	203
EIF6	0	0	0	19	0	42
ELAC1	0	0	0	19	1	83
ELAC2	0	1	0	94	90	1950
ELANE	0	0	1	32	16	231
ELAVL1	0	0	0	1	47	1071
ELAVL2	0	0	0	5	34	675
ELAVL3	0	0	0	1	37	890
ELAVL4	0	0	0	11	6	130
ELF1	0	0	0	58	4	310
ELF2	0	0	7	83	17	355
ELF3	0	0	19	152	26	330
ELF4	0	0	0	10	1	100
ELF5	0	0	0	16	26	419
ELFN1	0	0	1	47	16	677
ELFN2	0	1	0	62	62	1479
ELK1	0	0	0	19	1	107
ELK3	0	0	7	135	13	573
ELK4	0	0	0	17	23	1181
ELL	0	0	0	35	9	418
ELL2	0	0	0	39	15	387
ELL3	0	0	1	52	0	14
ELMO1	0	0	0	16	47	1111
ELMO2	0	0	0	38	13	372
ELMO3	0	8	5	212	2	129
ELMOD1	0	0	0	7	14	261
ELMOD2	0	0	0	31	37	608
ELMOD3	0	1	19	368	34	918
ELMSAN1	0	0	30	378	107	1749
ELN	0	0	6	222	1	180
ELOF1	0	0	0	2	18	405
ELOVL1	0	0	0	12	1	65
ELOVL2	0	0	0	22	45	694
ELOVL2-AS1	0	0	0	2	434	6501
ELOVL3	0	0	2	40	0	22
ELOVL4	0	0	0	15	25	459
ELOVL5	1	40	0	11	35	746
ELOVL6	0	0	0	0	22	525
ELOVL7	0	2	0	27	79	1040
ELP2	0	1	19	304	12	142
ELP3	0	0	0	9	17	272
ELP4	0	0	3	113	0	15
ELP5	0	4	16	371	68	402
ELP6	0	0	0	24	13	205
ELSPBP1	0	2	9	206	28	413
ELTD1	0	0	0	87	0	169
EMB	0	0	0	27	37	962
EMBP1	0	14	0	14	404	6577
EMC1	0	0	3	98	51	972
EMC10	1	37	0	34	28	381
EMC2	0	0	0	2	0	48
EMC3	0	0	0	5	43	641
EMC4	0	0	3	183	6	264
EMC6	0	0	0	2	2	27
EMC7	0	0	0	16	2	50
EMC8	0	0	0	2	16	316
EMC9	0	0	0	17	0	44
EMCN	0	0	0	54	67	1047
EMD	0	0	0	8	7	59
EME1	0	1	9	292	3	220
EME2	0	15	6	179	3	110
EMG1	0	0	1	48	13	295
EMID1	0	0	0	66	3	118
EMILIN1	0	0	0	116	7	333
EMILIN2	0	2	2	223	18	322
EMILIN3	0	0	18	314	24	253
EML1	0	0	0	22	13	374
EML2	0	0	19	424	25	567
EML3	0	0	4	143	0	82
EML4	0	0	1	54	21	577
EML5	0	1	0	61	25	530
EML6	0	0	0	62	76	1677
EMP1	0	0	3	59	13	423
EMP2	0	0	1	21	67	1918
EMP3	0	0	0	54	4	142
EMR1	0	1	3	171	23	374
EMR2	1	7	31	422	151	1558
EMR3	0	0	5	127	17	292
EMR4P	0	0	14	185	13	381
EMX1	0	0	0	0	5	135
EMX2	0	0	0	1	3	167
EMX2OS	0	0	0	0	341	11431
EN1	0	0	0	15	14	437
EN2	0	0	0	4	21	765
ENAH	0	0	0	35	79	2338
ENAM	0	1	8	219	52	723
ENC1	0	0	0	29	10	577
ENDOD1	0	0	6	214	10	446
ENDOG	0	17	0	27	1	116
ENDOU	0	4	0	60	6	197
ENDOV	0	8	9	207	131	1903
ENG	0	0	10	255	12	356
ENGASE	0	7	34	712	149	2525
ENHO	0	0	0	0	20	368
ENKD1	0	1	10	145	2	92
ENKUR	0	0	0	35	39	543
ENO1	0	0	7	90	18	365
ENO1-AS1	0	0	0	0	4	120
ENO2	0	0	0	4	87	891
ENO3	0	1	1	57	4	90
ENO4	0	0	1	51	16	233
ENOPH1	0	1	0	6	23	386
ENOSF1	0	0	1	92	58	1171
ENOX1	0	0	6	72	5	227
ENOX2	0	0	0	9	1	98
ENPEP	0	6	3	124	18	486
ENPP1	0	0	2	247	191	2901
ENPP2	0	0	11	164	11	251
ENPP3	0	22	22	328	1	79
ENPP4	0	1	0	80	1	165
ENPP5	0	2	4	105	10	310
ENPP6	0	0	0	30	63	986
ENPP7	0	2	5	153	6	256
ENSA	0	0	1	30	27	560
ENTHD1	0	14	5	106	5	194
ENTHD2	0	0	1	182	33	590
ENTPD1	0	0	2	64	86	1965
